"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","total_votes","valid_votes","valid_votes2","null_votes","blanco_votes","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","national_winner","votes_national_winner"
"Sudan","SDN","Italy","ITA",2013-02-24,"Legislative",NA,NA,41,41,NA,NA,NA,17,"PARTITO DEMOCRATICO",12,"CON MONTI PER L'ITALIA",8,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",4,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",8
"Sweden","SWE","Italy","ITA",2013-02-24,"Legislative",NA,NA,3114,3114,NA,NA,NA,913,"PARTITO DEMOCRATICO",789,"CON MONTI PER L'ITALIA",623,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",223,"IL POPOLO DELLA LIBERTA'",214,"SINISTRA ECOLOGIA LIBERTA'",149,"PARTITO COMUNISTA",89,"RIVOLUZIONE CIVILE",69,"FARE PER FERMARE IL DECLINO",45,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",623
"Switzerland","CHE","Italy","ITA",2013-02-24,"Legislative",NA,NA,146628,146628,NA,NA,NA,50139,"PARTITO DEMOCRATICO",38274,"CON MONTI PER L'ITALIA",25379,"IL POPOLO DELLA LIBERTA'",20101,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",3316,"SINISTRA ECOLOGIA LIBERTA'",3201,"RIVOLUZIONE CIVILE",2526,"FARE PER FERMARE IL DECLINO",2441,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",1251,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",20101
"Eswatini","SWZ","Italy","ITA",2013-02-24,"Legislative",NA,NA,21,21,NA,NA,NA,12,"PARTITO DEMOCRATICO",6,"CON MONTI PER L'ITALIA",2,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",1,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",2
"Thailand","THA","Italy","ITA",2013-02-24,"Legislative",NA,NA,760,760,NA,NA,NA,302,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",214,"PARTITO DEMOCRATICO",149,"IL POPOLO DELLA LIBERTA'",95,"CON MONTI PER L'ITALIA",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",302
"Trinidad & Tobago","TTO","Italy","ITA",2013-02-24,"Legislative",NA,NA,44,44,NA,NA,NA,17,"PARTITO DEMOCRATICO",11,"IL POPOLO DELLA LIBERTA'",6,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",4,"ITALIANI PER LA LIBERTA'",2,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",2,"USEI",2,"UNIONE ITALIANI SUDAMERICA",0,"CON MONTI PER L'ITALIA",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",6
"Tunisia","TUN","Italy","ITA",2013-02-24,"Legislative",NA,NA,443,443,NA,NA,NA,222,"PARTITO DEMOCRATICO",99,"IL POPOLO DELLA LIBERTA'",71,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",51,"CON MONTI PER L'ITALIA",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",71
"Turkey","TUR","Italy","ITA",2013-02-24,"Legislative",NA,NA,1022,1022,NA,NA,NA,305,"CON MONTI PER L'ITALIA",235,"PARTITO DEMOCRATICO",234,"IL POPOLO DELLA LIBERTA'",162,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",31,"SINISTRA ECOLOGIA LIBERTA'",20,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",17,"FARE PER FERMARE IL DECLINO",13,"RIVOLUZIONE CIVILE",5,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",162
"Ukraine","UKR","Italy","ITA",2013-02-24,"Legislative",NA,NA,144,144,NA,NA,NA,46,"IL POPOLO DELLA LIBERTA'",36,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",28,"PARTITO DEMOCRATICO",22,"CON MONTI PER L'ITALIA",5,"FARE PER FERMARE IL DECLINO",3,"RIVOLUZIONE CIVILE",2,"SINISTRA ECOLOGIA LIBERTA'",1,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",1,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",36
"Uganda","UGA","Italy","ITA",2013-02-24,"Legislative",NA,NA,136,136,NA,NA,NA,60,"CON MONTI PER L'ITALIA",50,"PARTITO DEMOCRATICO",15,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",11,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",15
"Hungary","HUN","Italy","ITA",2013-02-24,"Legislative",NA,NA,711,711,NA,NA,NA,193,"PARTITO DEMOCRATICO",191,"IL POPOLO DELLA LIBERTA'",136,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",104,"CON MONTI PER L'ITALIA",24,"SINISTRA ECOLOGIA LIBERTA'",23,"FARE PER FERMARE IL DECLINO",22,"RIVOLUZIONE CIVILE",12,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",6,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",136
"Uruguay","URY","Italy","ITA",2013-02-24,"Legislative",NA,NA,26548,26548,NA,NA,NA,10752,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",10240,"PARTITO DEMOCRATICO",2485,"USEI",1259,"ITALIANI PER LA LIBERTA'",780,"IL POPOLO DELLA LIBERTA'",589,"UNIONE ITALIANI SUDAMERICA",443,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",0,"CON MONTI PER L'ITALIA",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",443
"Venezuela","VEN","Italy","ITA",2013-02-24,"Legislative",NA,NA,30169,30169,NA,NA,NA,12506,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",10357,"PARTITO DEMOCRATICO",3856,"IL POPOLO DELLA LIBERTA'",1208,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",946,"UNIONE ITALIANI SUDAMERICA",885,"USEI",411,"ITALIANI PER LA LIBERTA'",0,"CON MONTI PER L'ITALIA",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",1208
"Vietnam","VNM","Italy","ITA",2013-02-24,"Legislative",NA,NA,88,88,NA,NA,NA,38,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",36,"PARTITO DEMOCRATICO",10,"CON MONTI PER L'ITALIA",4,"IL POPOLO DELLA LIBERTA'",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",38
"Zambia","ZMB","Italy","ITA",2013-02-24,"Legislative",NA,NA,165,165,NA,NA,NA,77,"CON MONTI PER L'ITALIA",39,"PARTITO DEMOCRATICO",34,"IL POPOLO DELLA LIBERTA'",15,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",0,"MOV.ASSOCIATIVO ITALIANI ALL'ESTERO",0,"FARE PER FERMARE IL DECLINO",0,"SINISTRA ECOLOGIA LIBERTA'",0,"RIVOLUZIONE CIVILE",0,"PARTITO COMUNISTA",0,"ITALIANI PER LA LIBERTA'",0,"USEI",0,"UNIONE ITALIANI SUDAMERICA",0,"INSIEME PER GLI ITALIANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOVIMENTO 5 STELLE BEPPEGRILLO.IT",15
"Afghanistan","AFG","Italy","ITA",2006-04-09,"Legislative",1786,1601,1546,1546,24,NA,55,1170,"FORZA ITALIA",251,"L'UNIONE",72,"PER ITALIA NEL MONDO",53,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",251
"Albania","ALB","Italy","ITA",2006-04-09,"Legislative",515,374,342,342,7,NA,31,111,"FORZA ITALIA",87,"L'UNIONE",69,"UNIONE DI CENTRO",29,"PER ITALIA NEL MONDO",12,"DI PIETRO ITALIA DEI VALORI",10,"LEGA NORD",8,"AMARE L'ITALIA",6,"U.D.EUR POPOLARI",6,"ALTERNATIVA SOCIALE MUSSOLINI",4,"L' ALTRA SICILIA PER IL SUD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",87
"Algeria","DZA","Italy","ITA",2006-04-09,"Legislative",436,232,209,209,1,NA,23,93,"L'UNIONE",64,"PER ITALIA NEL MONDO",46,"FORZA ITALIA",6,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",93
"Andorra","AND","Italy","ITA",2006-04-09,"Legislative",214,29,22,22,0,NA,2,9,"L'UNIONE",7,"FORZA ITALIA",2,"LEGA NORD",2,"UNIONE DI CENTRO",1,"DI PIETRO ITALIA DEI VALORI",1,"AMARE L'ITALIA",0,"PER ITALIA NEL MONDO",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",9
"Angola","AGO","Italy","ITA",2006-04-09,"Legislative",224,144,142,142,1,NA,2,92,"L'UNIONE",29,"FORZA ITALIA",19,"PER ITALIA NEL MONDO",2,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",92
"Antigua & Barbuda","ATG","Italy","ITA",2006-04-09,"Legislative",39,0,0,0,0,NA,0,0,"FORZA ITALIA",0,"L'UNIONE",0,"PER ITALIA NEL MONDO",0,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",0
"Argentina","ARG","Italy","ITA",2006-04-09,"Legislative",357595,180900,167870,167870,1212,NA,13030,52841,"ASS.ITAL.SUD AMERICA",47865,"L'UNIONE",25906,"UNIONE DI CENTRO",18896,"PER ITALIA NEL MONDO",10791,"U.S.E.I.",7634,"FORZA ITALIA",2547,"U.D.EUR POPOLARI",1390,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",47865
"Armenia","ARM","Italy","ITA",2006-04-09,"Legislative",20,0,0,0,0,NA,0,0,"FORZA ITALIA",0,"L'UNIONE",0,"PER ITALIA NEL MONDO",0,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",0
"Australia","AUS","Italy","ITA",2006-04-09,"Legislative",94529,34808,30991,30991,448,NA,3817,17341,"L'UNIONE",10987,"FORZA ITALIA",1928,"PER ITALIA NEL MONDO",735,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",17341
"Austria","AUT","Italy","ITA",2006-04-09,"Legislative",9986,4346,4163,4163,48,NA,124,2796,"L'UNIONE",667,"FORZA ITALIA",246,"UNIONE DI CENTRO",153,"LEGA NORD",124,"PER ITALIA NEL MONDO",89,"DI PIETRO ITALIA DEI VALORI",29,"AMARE L'ITALIA",28,"ALTERNATIVA SOCIALE MUSSOLINI",17,"L' ALTRA SICILIA PER IL SUD",14,"U.D.EUR POPOLARI",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",2796
"autonomous district",NA,"Italy","ITA",2006-04-09,"Legislative",1329,592,545,545,8,NA,47,266,"L'UNIONE",244,"FORZA ITALIA",22,"PER ITALIA NEL MONDO",13,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",266
"Azerbaijan","AZE","Italy","ITA",2006-04-09,"Legislative",23,21,15,15,0,NA,6,8,"L'UNIONE",4,"FORZA ITALIA",2,"LEGA NORD",1,"UNIONE DI CENTRO",0,"PER ITALIA NEL MONDO",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",8
"Bahamas","BHS","Italy","ITA",2006-04-09,"Legislative",115,45,43,43,0,NA,2,23,"FORZA ITALIA",12,"L'UNIONE",2,"PER ITALIA NEL MONDO",2,"LEGA NORD",2,"ALT.IND.ITAL.ESTERO",2,"UNIONE DI CENTRO",0,"FIAMMA TRICOLORE",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",12
"Bahrain","BHR","Italy","ITA",2006-04-09,"Legislative",83,13,13,13,0,NA,0,8,"L'UNIONE",5,"FORZA ITALIA",0,"PER ITALIA NEL MONDO",0,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",8
"Barbados","BRB","Italy","ITA",2006-04-09,"Legislative",21,0,0,0,0,NA,0,0,"FORZA ITALIA",0,"L'UNIONE",0,"PER ITALIA NEL MONDO",0,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",0
"Belgium","BEL","Italy","ITA",2006-04-09,"Legislative",186056,56198,50529,50529,406,NA,4920,30784,"L'UNIONE",8346,"FORZA ITALIA",4242,"DI PIETRO ITALIA DEI VALORI",2205,"L' ALTRA SICILIA PER IL SUD",1887,"UNIONE DI CENTRO",1556,"PER ITALIA NEL MONDO",612,"LEGA NORD",481,"ALTERNATIVA SOCIALE MUSSOLINI",235,"AMARE L'ITALIA",181,"U.D.EUR POPOLARI",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",30784
"Belize","BLZ","Italy","ITA",2006-04-09,"Legislative",13,0,0,0,0,NA,0,0,"FORZA ITALIA",0,"L'UNIONE",0,"PER ITALIA NEL MONDO",0,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",0
"Benin","BEN","Italy","ITA",2006-04-09,"Legislative",62,13,11,11,0,NA,2,7,"FORZA ITALIA",4,"L'UNIONE",0,"PER ITALIA NEL MONDO",0,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"UNIONE DI CENTRO",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",0,"ASS.ITAL.SUD AMERICA",0,"U.S.E.I.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",4
"Bolivia","BOL","Italy","ITA",2006-04-09,"Legislative",1406,624,589,589,7,NA,35,190,"L'UNIONE",170,"ASS.ITAL.SUD AMERICA",76,"FORZA ITALIA",66,"PER ITALIA NEL MONDO",61,"UNIONE DI CENTRO",15,"U.S.E.I.",11,"LEGA NORD",0,"ALT.IND.ITAL.ESTERO",0,"FIAMMA TRICOLORE",0,"DI PIETRO ITALIA DEI VALORI",0,"AMARE L'ITALIA",0,"U.D.EUR POPOLARI",0,"ALTERNATIVA SOCIALE MUSSOLINI",0,"L' ALTRA SICILIA PER IL SUD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L'UNIONE",190
